State,County,Avocado Bearing Acres,FIPS Code
CALIFORNIA,MONTEREY,219,06053
CALIFORNIA,SAN BENITO,9,06069
CALIFORNIA,SAN LUIS OBISPO,3364,06079
CALIFORNIA,SANTA CRUZ,52,06087
CALIFORNIA,TULARE,253,06107
CALIFORNIA,EL DORADO,1,06017
CALIFORNIA,LOS ANGELES,200,06037
CALIFORNIA,ORANGE,1442,06059
CALIFORNIA,RIVERSIDE,5678,06065
CALIFORNIA,SAN DIEGO,17932,06073
CALIFORNIA,SANTA BARBARA,6674,06083
CALIFORNIA,VENTURA,15594,06111
FLORIDA,POLK,1,12105
FLORIDA,BREVARD,6,12009
FLORIDA,MIAMI-DADE,11661,12086
FLORIDA,PALM BEACH,12,12099
TEXAS,HIDALGO,31,48215
